Year,Smooth unemployment rate,Smooth vacancy rate
1960,0.0546,0.0267
1960.0833,0.0512,0.0285
1960.1667,0.0517,0.0303
1960.25,0.0516,0.0296
1960.3333,0.0526,0.0287
1960.4167,0.0524,0.028
1960.5,0.0534,0.0273
1960.5833,0.0551,0.0266
1960.6667,0.0556,0.0258
1960.75,0.0576,0.025
1960.8333,0.0592,0.0242
1960.9167,0.0626,0.0233
1961,0.0645,0.0228
1961.0833,0.0668,0.0223
1961.1667,0.0679,0.0223
1961.25,0.069,0.0223
1961.3333,0.0698,0.0228
1961.4167,0.0699,0.0233
1961.5,0.0699,0.0239
1961.5833,0.0684,0.0245
1961.6667,0.0676,0.0252
1961.75,0.0659,0.0261
1961.8333,0.0642,0.0271
1961.9167,0.0618,0.0277
1962,0.0596,0.0284
1962.0833,0.0576,0.0286
1962.1667,0.0563,0.0289
1962.25,0.0554,0.0287
1962.3333,0.0553,0.029
1962.4167,0.0549,0.029
1962.5,0.0545,0.029
1962.5833,0.0551,0.0284
1962.6667,0.0555,0.028
1962.75,0.0553,0.0274
1962.8333,0.0554,0.0271
1962.9167,0.0552,0.027
1963,0.0564,0.0271
1963.0833,0.0573,0.0273
1963.1667,0.0579,0.0275
1963.25,0.0577,0.0274
1963.3333,0.0574,0.0272
1963.4167,0.0569,0.0269
1963.5,0.0568,0.027
1963.5833,0.0553,0.0272
1963.6667,0.0551,0.0272
1963.75,0.0547,0.0274
1963.8333,0.0558,0.0274
1963.9167,0.0558,0.028
1964,0.056,0.0283
1964.0833,0.0549,0.0286
1964.1667,0.0547,0.0286
1964.25,0.054,0.0289
1964.3333,0.053,0.0294
1964.4167,0.0523,0.0302
1964.5,0.051,0.0308
1964.5833,0.0505,0.0313
1964.6667,0.05,0.0315
1964.75,0.0505,0.0315
1964.8333,0.05,0.0321
1964.9167,0.0497,0.0325
1965,0.0489,0.0331
1965.0833,0.0496,0.0336
1965.1667,0.0488,0.0343
1965.25,0.0488,0.0349
1965.3333,0.0473,0.0356
1965.4167,0.0467,0.0363
1965.5,0.0453,0.0369
1965.5833,0.0444,0.0374
1965.6667,0.0436,0.0383
1965.75,0.0429,0.0396
1965.8333,0.0421,0.0414
1965.9167,0.0411,0.043
1966,0.0404,0.0442
1966.0833,0.0392,0.045
1966.1667,0.0386,0.0463
1966.25,0.0379,0.0469
1966.3333,0.0384,0.0472
1966.4167,0.0382,0.0468
1966.5,0.0383,0.047
1966.5833,0.038,0.0469
1966.6667,0.0376,0.0463
1966.75,0.0372,0.0458
1966.8333,0.0366,0.0454
1966.9167,0.037,0.0452
1967,0.0376,0.045
1967.0833,0.0383,0.0448
1967.1667,0.0382,0.0445
1967.25,0.0379,0.044
1967.3333,0.0379,0.0436
1967.4167,0.0382,0.0434
1967.5,0.0383,0.0429
1967.5833,0.0382,0.0429
1967.6667,0.038,0.0427
1967.75,0.0387,0.0431
1967.8333,0.0391,0.0431
1967.9167,0.0393,0.0433
1968,0.0383,0.0437
1968.0833,0.038,0.0439
1968.1667,0.0374,0.0444
1968.25,0.0366,0.0447
1968.3333,0.0354,0.0452
1968.4167,0.0355,0.0453
1968.5,0.0361,0.0456
1968.5833,0.0363,0.0463
1968.6667,0.0352,0.0473
1968.75,0.0344,0.0488
1968.8333,0.0341,0.0498
1968.9167,0.034,0.0502
1969,0.0341,0.0505
1969.0833,0.0339,0.0508
1969.1667,0.0339,0.0515
1969.25,0.034,0.0516
1969.3333,0.034,0.0519
1969.4167,0.0344,0.0513
1969.5,0.0347,0.0505
1969.5833,0.0352,0.0493
1969.6667,0.036,0.0497
1969.75,0.0367,0.05
1969.8333,0.0366,0.0502
1969.9167,0.0359,0.0489
1970,0.0365,0.0472
1970.0833,0.0388,0.0457
1970.1667,0.0417,0.0439
1970.25,0.044,0.0424
1970.3333,0.0458,0.0403
1970.4167,0.0476,0.0388
1970.5,0.0491,0.0373
1970.5833,0.0504,0.0364
1970.6667,0.0518,0.0357
1970.75,0.0534,0.0346
1970.8333,0.0558,0.0335
1970.9167,0.0581,0.0326
1971,0.0596,0.0321
1971.0833,0.0596,0.032
1971.1667,0.0593,0.0319
1971.25,0.0591,0.0321
1971.3333,0.0594,0.0322
1971.4167,0.0592,0.0327
1971.5,0.0594,0.0331
1971.5833,0.0598,0.0334
1971.6667,0.0599,0.0331
1971.75,0.0595,0.0332
1971.8333,0.0594,0.0333
1971.9167,0.0597,0.0338
1972,0.0597,0.0346
1972.0833,0.0586,0.0354
1972.1667,0.0579,0.0364
1972.25,0.0576,0.0369
1972.3333,0.0574,0.0374
1972.4167,0.0568,0.0378
1972.5,0.0566,0.0384
1972.5833,0.0565,0.0392
1972.6667,0.0561,0.0401
1972.75,0.0559,0.0413
1972.8333,0.0546,0.0423
1972.9167,0.0533,0.0444
1973,0.0512,0.0463
1973.0833,0.0505,0.0478
1973.1667,0.0498,0.0481
1973.25,0.05,0.0477
1973.3333,0.0494,0.0476
1973.4167,0.0492,0.0475
1973.5,0.0485,0.0479
1973.5833,0.0483,0.0478
1973.6667,0.0482,0.0475
1973.75,0.0475,0.0471
1973.8333,0.0476,0.047
1973.9167,0.0479,0.0463
1974,0.0496,0.0454
1974.0833,0.0507,0.0442
1974.1667,0.0511,0.0439
1974.25,0.051,0.044
1974.3333,0.0509,0.0444
1974.4167,0.0519,0.0442
1974.5,0.0533,0.043
1974.5833,0.0544,0.0417
1974.6667,0.0561,0.0402
1974.75,0.0577,0.0383
1974.8333,0.0616,0.0359
1974.9167,0.0658,0.0331
1975,0.0728,0.0306
1975.0833,0.0777,0.0289
1975.1667,0.0824,0.0278
1975.25,0.0849,0.0273
1975.3333,0.0878,0.0269
1975.4167,0.0885,0.0275
1975.5,0.088,0.0283
1975.5833,0.0862,0.0289
1975.6667,0.0849,0.0292
1975.75,0.084,0.0293
1975.8333,0.0835,0.03
1975.9167,0.0828,0.0303
1976,0.0814,0.0309
1976.0833,0.0795,0.0316
1976.1667,0.0775,0.0324
1976.25,0.0765,0.0329
1976.3333,0.0754,0.0331
1976.4167,0.0755,0.0333
1976.5,0.0758,0.0334
1976.5833,0.0772,0.0333
1976.6667,0.0772,0.033
1976.75,0.077,0.0331
1976.8333,0.0772,0.0333
1976.9167,0.0776,0.0341
1977,0.0769,0.0352
1977.0833,0.0762,0.036
1977.1667,0.0752,0.0366
1977.25,0.0741,0.0372
1977.3333,0.0721,0.0381
1977.4167,0.0713,0.0388
1977.5,0.0704,0.0395
1977.5833,0.0702,0.0402
1977.6667,0.0689,0.0407
1977.75,0.0684,0.0415
1977.8333,0.0678,0.0425
1977.9167,0.0664,0.0439
1978,0.0652,0.0447
1978.0833,0.0635,0.0454
1978.1667,0.0632,0.046
1978.25,0.0621,0.0474
1978.3333,0.0612,0.0485
1978.4167,0.06,0.0491
1978.5,0.0602,0.0489
1978.5833,0.0599,0.049
1978.6667,0.0602,0.0495
1978.75,0.0589,0.0504
1978.8333,0.0587,0.0509
1978.9167,0.0588,0.0513
1979,0.0591,0.051
1979.0833,0.0593,0.0504
1979.1667,0.0587,0.0499
1979.25,0.0586,0.0502
1979.3333,0.0576,0.0508
1979.4167,0.0571,0.051
1979.5,0.0567,0.0504
1979.5833,0.0581,0.0501
1979.6667,0.0586,0.0505
1979.75,0.0595,0.0513
1979.8333,0.0591,0.0508
1979.9167,0.0593,0.0497
1980,0.0604,0.048
1980.0833,0.0617,0.047
1980.1667,0.0629,0.046
1980.25,0.065,0.0437
1980.3333,0.069,0.0406
1980.4167,0.0732,0.0379
1980.5,0.0762,0.037
1980.5833,0.0771,0.0372
1980.6667,0.0768,0.0378
1980.75,0.0758,0.0384
1980.8333,0.0749,0.0396
1980.9167,0.0739,0.0396
