Year,Recession probability
1960,0
1960.083,0
1960.167,0
1960.25,0
1960.333,0
1960.417,0
1960.5,0
1960.583,0.14
1960.667,0.28
1960.75,0.46
1960.833,0.64
1960.917,0.8
1961,0.92
1961.083,1
1961.167,1
1961.25,0.86
1961.333,0.58
1961.417,0.34
1961.5,0.08
1961.583,0
1961.667,0
1961.75,0
1961.833,0
1961.917,0
1962,0
1962.083,0
1962.167,0
1962.25,0
1962.333,0
1962.417,0
1962.5,0
1962.583,0
1962.667,0
1962.75,0
1962.833,0
1962.917,0
1963,0
1963.083,0
1963.167,0
1963.25,0
1963.333,0
1963.417,0
1963.5,0
1963.583,0
1963.667,0
1963.75,0
1963.833,0
1963.917,0
1964,0
1964.083,0
1964.167,0
1964.25,0
1964.333,0
1964.417,0
1964.5,0
1964.583,0
1964.667,0
1964.75,0
1964.833,0
1964.917,0
1965,0
1965.083,0
1965.167,0
1965.25,0
1965.333,0
1965.417,0
1965.5,0
1965.583,0
1965.667,0
1965.75,0
1965.833,0
1965.917,0
1966,0
1966.083,0
1966.167,0
1966.25,0
1966.333,0
1966.417,0
1966.5,0
1966.583,0
1966.667,0
1966.75,0
1966.833,0
1966.917,0
1967,0
1967.083,0
1967.167,0
1967.25,0
1967.333,0
1967.417,0
1967.5,0
1967.583,0
1967.667,0
1967.75,0
1967.833,0
1967.917,0
1968,0
1968.083,0
1968.167,0
1968.25,0
1968.333,0
1968.417,0
1968.5,0
1968.583,0
1968.667,0
1968.75,0
1968.833,0
1968.917,0
1969,0
1969.083,0
1969.167,0
1969.25,0
1969.333,0
1969.417,0
1969.5,0
1969.583,0
1969.667,0
1969.75,0
1969.833,0
1969.917,0
1970,0
1970.083,0.38
1970.167,0.96
1970.25,1
1970.333,1
1970.417,1
1970.5,1
1970.583,1
1970.667,1
1970.75,1
1970.833,1
1970.917,1
1971,1
1971.083,1
1971.167,1
1971.25,1
1971.333,1
1971.417,0.62
1971.5,0.24
1971.583,0
1971.667,0
1971.75,0
1971.833,0
1971.917,0
1972,0
1972.083,0
1972.167,0
1972.25,0
1972.333,0
1972.417,0
1972.5,0
1972.583,0
1972.667,0
1972.75,0
1972.833,0
1972.917,0
1973,0
1973.083,0
1973.167,0
1973.25,0
1973.333,0
1973.417,0
1973.5,0
1973.583,0
1973.667,0
1973.75,0
1973.833,0
1973.917,0
1974,0
1974.083,0.04
1974.167,0.12
1974.25,0.1
1974.333,0.08
1974.417,0.14
1974.5,0.4
1974.583,0.62
1974.667,0.86
1974.75,1
1974.833,1
1974.917,1
1975,1
1975.083,1
1975.167,1
1975.25,1
1975.333,1
1975.417,1
1975.5,1
1975.583,1
1975.667,1
1975.75,1
1975.833,0.58
1975.917,0
1976,0
1976.083,0
1976.167,0
1976.25,0
1976.333,0
1976.417,0
1976.5,0
1976.583,0
1976.667,0
1976.75,0
1976.833,0
1976.917,0
1977,0
1977.083,0
1977.167,0
1977.25,0
1977.333,0
1977.417,0
1977.5,0
1977.583,0
1977.667,0
1977.75,0
1977.833,0
1977.917,0
1978,0
1978.083,0
1978.167,0
1978.25,0
1978.333,0
1978.417,0
1978.5,0
1978.583,0
1978.667,0
1978.75,0
1978.833,0
1978.917,0
1979,0
1979.083,0
1979.167,0
1979.25,0
1979.333,0
1979.417,0
1979.5,0
1979.583,0
1979.667,0
1979.75,0
1979.833,0
1979.917,0
1980,0.04
1980.083,0.24
1980.167,0.44
1980.25,0.92
1980.333,1
1980.417,1
1980.5,1
1980.583,1
1980.667,1
1980.75,1
1980.833,1
1980.917,1
1981,1
1981.083,1
1981.167,0.92
1981.25,0.44
1981.333,0
1981.417,0
1981.5,0
1981.583,0
1981.667,0
1981.75,0
1981.833,0.5
1981.917,0.76
1982,0.82
1982.083,0.88
1982.167,1
1982.25,1
1982.333,1
1982.417,1
1982.5,1
1982.583,1
1982.667,1
1982.75,1
1982.833,1
1982.917,1
1983,1
1983.083,0.84
1983.167,0.6
1983.25,0.28
1983.333,0
1983.417,0
1983.5,0
1983.583,0
1983.667,0
1983.75,0
1983.833,0
1983.917,0
1984,0
1984.083,0
1984.167,0
1984.25,0
1984.333,0
1984.417,0
1984.5,0
1984.583,0
1984.667,0
1984.75,0
1984.833,0
1984.917,0
1985,0
1985.083,0
1985.167,0
1985.25,0
1985.333,0
1985.417,0
1985.5,0
1985.583,0
1985.667,0
1985.75,0
1985.833,0
1985.917,0
1986,0
1986.083,0
1986.167,0
1986.25,0
1986.333,0
1986.417,0
1986.5,0
1986.583,0
1986.667,0
1986.75,0
1986.833,0
1986.917,0
1987,0
1987.083,0
1987.167,0
1987.25,0
1987.333,0
1987.417,0
1987.5,0
1987.583,0
1987.667,0
1987.75,0
1987.833,0
1987.917,0
1988,0
1988.083,0
1988.167,0
1988.25,0
1988.333,0
1988.417,0
1988.5,0
1988.583,0
1988.667,0
1988.75,0
1988.833,0
1988.917,0
1989,0
1989.083,0
1989.167,0
1989.25,0
1989.333,0
1989.417,0
1989.5,0
1989.583,0
1989.667,0
1989.75,0
1989.833,0
1989.917,0
1990,0
1990.083,0
1990.167,0
1990.25,0
1990.333,0
1990.417,0
1990.5,0
1990.583,0
1990.667,0.24
1990.75,0.46
1990.833,0.76
1990.917,1
1991,1
1991.083,1
1991.167,1
1991.25,1
1991.333,1
1991.417,1
1991.5,1
1991.583,1
1991.667,1
1991.75,1
1991.833,0.82
1991.917,0.6
1992,0.36
1992.083,0.18
1992.167,0
1992.25,0
1992.333,0
1992.417,0
1992.5,0
1992.583,0
1992.667,0
1992.75,0
1992.833,0
1992.917,0
1993,0
1993.083,0
1993.167,0
1993.25,0
1993.333,0
1993.417,0
1993.5,0
1993.583,0
1993.667,0
1993.75,0
1993.833,0
1993.917,0
1994,0
1994.083,0
1994.167,0
1994.25,0
1994.333,0
1994.417,0
1994.5,0
1994.583,0
1994.667,0
1994.75,0
1994.833,0
1994.917,0
1995,0
1995.083,0
1995.167,0
1995.25,0
1995.333,0
1995.417,0
1995.5,0
1995.583,0
1995.667,0
1995.75,0
1995.833,0
1995.917,0
1996,0
1996.083,0
1996.167,0
1996.25,0
1996.333,0
1996.417,0
1996.5,0
1996.583,0
1996.667,0
1996.75,0
1996.833,0
1996.917,0
1997,0
1997.083,0
1997.167,0
1997.25,0
1997.333,0
1997.417,0
1997.5,0
1997.583,0
1997.667,0
1997.75,0
1997.833,0
1997.917,0
1998,0
1998.083,0
1998.167,0
1998.25,0
1998.333,0
1998.417,0
1998.5,0
1998.583,0
1998.667,0
1998.75,0
1998.833,0
1998.917,0
1999,0
1999.083,0
1999.167,0
1999.25,0
1999.333,0
1999.417,0
1999.5,0
1999.583,0
1999.667,0
1999.75,0
1999.833,0
1999.917,0
2000,0
2000.083,0
2000.167,0
2000.25,0
2000.333,0
2000.417,0
2000.5,0
2000.583,0
2000.667,0
2000.75,0
2000.833,0
2000.917,0
2001,0
2001.083,0
2001.167,0.02
2001.25,0.14
2001.333,0.22
2001.417,0.38
2001.5,0.52
2001.583,0.7
2001.667,0.88
2001.75,0.94
2001.833,1
2001.917,1
2002,1
2002.083,1
2002.167,1
2002.25,1
2002.333,1
2002.417,0.96
2002.5,0.86
2002.583,0.84
2002.667,0.62
2002.75,0.54
2002.833,0.14
2002.917,0.02
2003,0
2003.083,0
2003.167,0
2003.25,0
2003.333,0
2003.417,0
2003.5,0
2003.583,0
2003.667,0
2003.75,0
2003.833,0
2003.917,0
2004,0
2004.083,0
2004.167,0
2004.25,0
2004.333,0
2004.417,0
2004.5,0
2004.583,0
2004.667,0
2004.75,0
2004.833,0
2004.917,0
2005,0
2005.083,0
2005.167,0
2005.25,0
2005.333,0
2005.417,0
2005.5,0
2005.583,0
2005.667,0
2005.75,0
2005.833,0
2005.917,0
2006,0
2006.083,0
2006.167,0
2006.25,0
2006.333,0
2006.417,0
2006.5,0
2006.583,0
2006.667,0
2006.75,0
2006.833,0
2006.917,0
2007,0
2007.083,0
2007.167,0
2007.25,0
2007.333,0
2007.417,0
2007.5,0
2007.583,0
2007.667,0
2007.75,0
2007.833,0
2007.917,0
2008,0
2008.083,0
2008.167,0
2008.25,0
2008.333,0.24
2008.417,0.26
2008.5,0.38
2008.583,0.48
2008.667,0.64
2008.75,0.86
2008.833,1
2008.917,1
2009,1
2009.083,1
2009.167,1
2009.25,1
2009.333,1
2009.417,1
2009.5,1
2009.583,1
2009.667,1
2009.75,0.94
2009.833,0.7
2009.917,0.42
2010,0.36
2010.083,0
2010.167,0
2010.25,0
2010.333,0
2010.417,0
2010.5,0
2010.583,0
2010.667,0
2010.75,0
2010.833,0
2010.917,0
2011,0
2011.083,0
2011.167,0
2011.25,0
2011.333,0
2011.417,0
2011.5,0
2011.583,0
2011.667,0
2011.75,0
2011.833,0
2011.917,0
2012,0
2012.083,0
2012.167,0
2012.25,0
2012.333,0
2012.417,0
2012.5,0
2012.583,0
2012.667,0
2012.75,0
2012.833,0
2012.917,0
2013,0
2013.083,0
2013.167,0
2013.25,0
2013.333,0
2013.417,0
2013.5,0
2013.583,0
2013.667,0
2013.75,0
2013.833,0
2013.917,0
2014,0
2014.083,0
2014.167,0
2014.25,0
2014.333,0
2014.417,0
