Year,Minimum indicator
1929.25,0
1929.3333,0
1929.4167,0
1929.5,0
1929.5833,0
1929.6667,0
1929.75,0
1929.8333,0
1929.9167,0
1930,0
1930.0833,0.0049
1930.1667,0.01
1930.25,0.0102
1930.3333,0.0104
1930.4167,0.0108
1930.5,0.0115
1930.5833,0.0121
1930.6667,0.0127
1930.75,0.0129
1930.8333,0.0122
1930.9167,0.0097
1931,0.0068
1931.0833,0.0053
1931.1667,0.0039
1931.25,0.0037
1931.3333,0.0035
1931.4167,0.0037
1931.5,0.0034
1931.5833,0.0032
1931.6667,0.003
1931.75,0.0033
1931.8333,0.0031
1931.9167,0.003
1932,0.0029
1932.0833,0.0031
1932.1667,0.0036
1932.25,0.0041
1932.3333,0.0043
1932.4167,0.0041
1932.5,0.0037
1932.5833,0.0035
1932.6667,0.0031
1932.75,0.0022
1932.8333,0.0021
1932.9167,0.0021
1933,0.0023
1933.0833,0.0022
1933.1667,0.0023
1933.25,0.0019
1933.3333,0.0011
1933.4167,0
1933.5,0
1933.5833,0
1933.6667,0
1933.75,0
1933.8333,0
1933.9167,0
1934,0
1934.0833,0
1934.1667,0
1934.25,0
1934.3333,0
1934.4167,0.0001
1934.5,0.0004
1934.5833,0.0008
1934.6667,0.0009
1934.75,0.0009
1934.8333,0.0008
1934.9167,0.0006
1935,0.0004
1935.0833,0.0003
1935.1667,0.0002
1935.25,0.0001
1935.3333,0.0001
1935.4167,0
1935.5,0
1935.5833,0
1935.6667,0
1935.75,0
1935.8333,0
1935.9167,0
1936,0
1936.0833,0
1936.1667,0
1936.25,0
1936.3333,0
1936.4167,0
1936.5,0
1936.5833,0
1936.6667,0
1936.75,0
1936.8333,0
1936.9167,0
1937,0
1937.0833,0
1937.1667,0
1937.25,0
1937.3333,0
1937.4167,0
1937.5,0
1937.5833,0
1937.6667,0.0001
1937.75,0.0018
1937.8333,0.0028
1937.9167,0.0042
1938,0.005
1938.0833,0.0054
1938.1667,0.0054
1938.25,0.0057
1938.3333,0.0059
1938.4167,0.0061
1938.5,0.0053
1938.5833,0.0046
1938.6667,0.0041
1938.75,0.0037
1938.8333,0.0024
1938.9167,0.0009
1939,0
1939.0833,0.0001
1939.1667,0
1939.25,0
1939.3333,0
1939.4167,0
1939.5,0
1939.5833,0
1939.6667,0
1939.75,0
1939.8333,0
1939.9167,0
1940,0
1940.0833,0
1940.1667,0
1940.25,0
1940.3333,0
1940.4167,0
1940.5,0
1940.5833,0
1940.6667,0
1940.75,0
1940.8333,0
1940.9167,0
1941,0
1941.0833,0
1941.1667,0
1941.25,0
1941.3333,0
1941.4167,0
1941.5,0
1941.5833,0
1941.6667,0
1941.75,0
1941.8333,0
1941.9167,0
1942,0
1942.0833,0
1942.1667,0
1942.25,0
1942.3333,0
1942.4167,0
1942.5,0
1942.5833,0
1942.6667,0
1942.75,0
1942.8333,0
1942.9167,0
1943,0
1943.0833,0
1943.1667,0
1943.25,0
1943.3333,0
1943.4167,0
1943.5,0
1943.5833,0
1943.6667,0
1943.75,0
1943.8333,0
1943.9167,0
1944,0
1944.0833,0
1944.1667,0
1944.25,0
1944.3333,0
1944.4167,0
1944.5,0.002
1944.5833,0.0013
1944.6667,0.0004
1944.75,0
1944.8333,0
1944.9167,0
1945,0
1945.0833,0
1945.1667,0.0009
1945.25,0.0008
1945.3333,0.0006
1945.4167,0.0018
1945.5,0.0008
1945.5833,0.0017
1945.6667,0.0054
1945.75,0.0119
1945.8333,0.0155
1945.9167,0.0172
1946,0.0183
1946.0833,0.0205
1946.1667,0.0206
1946.25,0.0212
1946.3333,0.0221
1946.4167,0.0222
1946.5,0.0215
1946.5833,0.0193
1946.6667,0.0162
1946.75,0.0115
1946.8333,0.0089
1946.9167,0.0087
1947,0.0074
1947.0833,0.0057
1947.1667,0.0043
1947.25,0.0062
1947.3333,0.0071
1947.4167,0.0086
1947.5,0.0083
1947.5833,0.0093
1947.6667,0.0083
1947.75,0.005
1947.8333,0.0032
1947.9167,0.002
1948,0
1948.0833,0
1948.1667,0
1948.25,0.0018
1948.3333,0.0008
1948.4167,0
1948.5,0
1948.5833,0.0011
1948.6667,0.0016
1948.75,0.002
1948.8333,0.0016
1948.9167,0.0023
1949,0.0041
1949.0833,0.0071
1949.1667,0.0104
1949.25,0.0119
1949.3333,0.0119
1949.4167,0.0125
1949.5,0.0131
1949.5833,0.0137
1949.6667,0.0147
1949.75,0.0149
1949.8333,0.0146
1949.9167,0.0125
1950,0.0101
1950.0833,0.0068
1950.1667,0.0044
1950.25,0.0025
1950.3333,0.0016
1950.4167,0
1950.5,0
1950.5833,0
1950.6667,0
1950.75,0
1950.8333,0
1950.9167,0
1951,0
1951.0833,0
1951.1667,0
1951.25,0
1951.3333,0
1951.4167,0
1951.5,0.0001
1951.5833,0.0006
1951.6667,0.0009
1951.75,0.0012
1951.8333,0.0011
1951.9167,0.0016
1952,0.0012
1952.0833,0.0003
1952.1667,0
1952.25,0
1952.3333,0
1952.4167,0.0003
1952.5,0.0013
1952.5833,0.0025
1952.6667,0.0027
1952.75,0.0005
1952.8333,0
1952.9167,0
