Year,Unemployment indicator
1929.25,0
1929.3333,0
1929.4167,0
1929.5,0
1929.5833,0
1929.6667,0
1929.75,0
1929.8333,0
1929.9167,0
1930,0
1930.0833,0.0049
1930.1667,0.013
1930.25,0.0213
1930.3333,0.0251
1930.4167,0.0284
1930.5,0.038
1930.5833,0.057
1930.6667,0.08
1930.75,0.1024
1930.8333,0.124
1930.9167,0.1427
1931,0.1479
1931.0833,0.1389
1931.1667,0.1205
1931.25,0.1068
1931.3333,0.0975
1931.4167,0.0916
1931.5,0.0824
1931.5833,0.067
1931.6667,0.0486
1931.75,0.0318
1931.8333,0.021
1931.9167,0.0304
1932,0.0352
1932.0833,0.0395
1932.1667,0.0442
1932.25,0.0563
1932.3333,0.0703
1932.4167,0.0848
1932.5,0.097
1932.5833,0.1024
1932.6667,0.101
1932.75,0.0947
1932.8333,0.0844
1932.9167,0.073
1933,0.0608
1933.0833,0.0503
1933.1667,0.0418
1933.25,0.0314
1933.3333,0.0186
1933.4167,0
1933.5,0
1933.5833,0
1933.6667,0
1933.75,0
1933.8333,0
1933.9167,0
1934,0
1934.0833,0
1934.1667,0
1934.25,0
1934.3333,0
1934.4167,0.0024
1934.5,0.0084
1934.5833,0.0178
1934.6667,0.0286
1934.75,0.0364
1934.8333,0.0398
1934.9167,0.0369
1935,0.0267
1935.0833,0.0157
1935.1667,0.0073
1935.25,0.006
1935.3333,0.0061
1935.4167,0.0043
1935.5,0
1935.5833,0
1935.6667,0
1935.75,0
1935.8333,0
1935.9167,0
1936,0
1936.0833,0
1936.1667,0
1936.25,0
1936.3333,0
1936.4167,0
1936.5,0
1936.5833,0
1936.6667,0
1936.75,0
1936.8333,0.0004
1936.9167,0.0004
1937,0
1937.0833,0
1937.1667,0
1937.25,0.0005
1937.3333,0
1937.4167,0
1937.5,0
1937.5833,0
1937.6667,0.0001
1937.75,0.0027
1937.8333,0.0083
1937.9167,0.0176
1938,0.0274
1938.0833,0.0353
1938.1667,0.039
1938.25,0.0417
1938.3333,0.0441
1938.4167,0.0459
1938.5,0.0461
1938.5833,0.044
1938.6667,0.0404
1938.75,0.0347
1938.8333,0.0249
1938.9167,0.0111
1939,0.0009
1939.0833,0.0017
1939.1667,0.0045
1939.25,0.0048
1939.3333,0.0042
1939.4167,0.0025
1939.5,0
1939.5833,0
1939.6667,0
1939.75,0
1939.8333,0
1939.9167,0
1940,0
1940.0833,0
1940.1667,0
1940.25,0
1940.3333,0
1940.4167,0
1940.5,0
1940.5833,0
1940.6667,0
1940.75,0.0007
1940.8333,0
1940.9167,0
1941,0
1941.0833,0
1941.1667,0
1941.25,0
1941.3333,0
1941.4167,0
1941.5,0
1941.5833,0
1941.6667,0
1941.75,0
1941.8333,0
1941.9167,0
1942,0
1942.0833,0
1942.1667,0
1942.25,0
1942.3333,0
1942.4167,0
1942.5,0
1942.5833,0
1942.6667,0
1942.75,0
1942.8333,0
1942.9167,0
1943,0
1943.0833,0
1943.1667,0
1943.25,0
1943.3333,0
1943.4167,0.0006
1943.5,0.0017
1943.5833,0.0019
1943.6667,0.001
1943.75,0
1943.8333,0
1943.9167,0
1944,0
1944.0833,0
1944.1667,0
1944.25,0
1944.3333,0.0008
1944.4167,0.0014
1944.5,0.002
1944.5833,0.0013
1944.6667,0.0004
1944.75,0
1944.8333,0
1944.9167,0
1945,0.0004
1945.0833,0.0008
1945.1667,0.0009
1945.25,0.0008
1945.3333,0.0006
1945.4167,0.0018
1945.5,0.0035
1945.5833,0.0049
1945.6667,0.011
1945.75,0.0167
1945.8333,0.023
1945.9167,0.0245
1946,0.0259
1946.0833,0.027
1946.1667,0.0279
1946.25,0.0277
1946.3333,0.0289
1946.4167,0.0274
1946.5,0.025
1946.5833,0.0224
1946.6667,0.0168
1946.75,0.0135
1946.8333,0.0089
1946.9167,0.0091
1947,0.0074
1947.0833,0.0057
1947.1667,0.0043
1947.25,0.0062
1947.3333,0.0071
1947.4167,0.0086
1947.5,0.0083
1947.5833,0.0093
1947.6667,0.0086
1947.75,0.0059
1947.8333,0.0032
1947.9167,0.002
1948,0
1948.0833,0
1948.1667,0
1948.25,0.0018
1948.3333,0.0008
1948.4167,0
1948.5,0
1948.5833,0.0011
1948.6667,0.0016
1948.75,0.002
1948.8333,0.0016
1948.9167,0.0023
1949,0.0041
1949.0833,0.0071
1949.1667,0.0104
1949.25,0.014
1949.3333,0.0186
1949.4167,0.0227
1949.5,0.0272
1949.5833,0.0287
1949.6667,0.0294
1949.75,0.0334
1949.8333,0.0322
1949.9167,0.0315
1950,0.0251
1950.0833,0.0219
1950.1667,0.0177
1950.25,0.0115
1950.3333,0.0041
1950.4167,0
1950.5,0
1950.5833,0
1950.6667,0
1950.75,0
1950.8333,0
1950.9167,0
1951,0
1951.0833,0
1951.1667,0
1951.25,0
1951.3333,0
1951.4167,0
1951.5,0.0001
1951.5833,0.0006
1951.6667,0.0009
1951.75,0.0022
1951.8333,0.0035
1951.9167,0.0028
1952,0.0016
1952.0833,0.0003
1952.1667,0
1952.25,0
1952.3333,0
1952.4167,0.0003
1952.5,0.0013
